iter	Logloss
0	0.6280351758
1	0.5740785498
2	0.5289782813
3	0.4901570361
4	0.4579462598
5	0.4308173096
6	0.408106958
7	0.3888073486
8	0.3725679248
9	0.3564643652
10	0.3432184473
11	0.3326790283
12	0.3237798901
13	0.3158820044
14	0.3093731494
15	0.3039071411
16	0.2996734448
17	0.2956798267
18	0.2923277173
19	0.2893948145
20	0.2868489551
21	0.2846201587
22	0.2826837061
23	0.2808828467
24	0.2794224512
25	0.2779969287
26	0.276777085
27	0.2756301978
28	0.2747471753
29	0.2738458813
30	0.2729404126
31	0.2721951294
32	0.2714807178
33	0.270793125
34	0.27025146
35	0.2696444141
36	0.2691867822
37	0.268705835
38	0.2682912988
39	0.2678710571
40	0.2674943848
41	0.267114834
42	0.2667792358
43	0.2664848096
44	0.2662159595
45	0.2659110742
46	0.2656627124
47	0.265397876
48	0.265175686
49	0.264958457
50	0.2647596509
51	0.2645699121
52	0.2644000073
53	0.2642517041
54	0.2640765039
55	0.2639216748
56	0.2637601343
57	0.2635820459
58	0.263432832
59	0.2632858032
60	0.2631506714
61	0.2630288013
62	0.2628916162
63	0.262773042
64	0.2626682788
65	0.2625581616
66	0.2624408423
67	0.2623510522
68	0.2622288159
69	0.2621585449
70	0.2620530078
71	0.2619591943
72	0.2618687256
73	0.2617930493
74	0.2617059277
75	0.2616422583
76	0.2615551147
77	0.2614716772
78	0.2613867114
79	0.2613121289
80	0.2612356738
81	0.2611731055
82	0.2611133447
83	0.2610451611
84	0.2609744922
85	0.2609126123
86	0.2608462427
87	0.2607905127
88	0.2607122583
89	0.260642417
90	0.2605989575
91	0.2605587744
92	0.2604994873
93	0.2604536426
94	0.2604111499
95	0.2603573242
96	0.2603100439
97	0.2602712769
98	0.2602104102
99	0.260143457
100	0.26009875
101	0.2600473535
102	0.259994021
103	0.2599425049
104	0.2598880688
105	0.2598302197
106	0.2597767725
107	0.2597227295
108	0.2596598901
109	0.2596134302
110	0.2595650073
111	0.2594986792
112	0.2594293237
113	0.2593878955
114	0.2593206152
115	0.2592694165
116	0.2592146265
117	0.2591855273
118	0.2591379688
119	0.2591006567
120	0.2590544458
121	0.2590061279
122	0.2589559082
123	0.258914834
124	0.2588735083
125	0.2588182349
126	0.2587585864
127	0.2587099097
128	0.2586766699
129	0.2586311621
130	0.2585826245
131	0.2585306592
132	0.2584742871
133	0.2584329565
134	0.2583885425
135	0.2583466479
136	0.2583072021
137	0.258268313
138	0.258235332
139	0.258198125
140	0.2581459546
141	0.2581081787
142	0.2580632861
143	0.2580218433
144	0.2579728174
145	0.257935542
146	0.2579011865
147	0.2578664795
148	0.257833042
149	0.2577928638
150	0.2577456934
151	0.2577152148
152	0.257680498
153	0.2576452979
154	0.2575840967
155	0.2575392993
156	0.257501626
157	0.2574723926
158	0.257437998
159	0.2574034253
160	0.2573552612
161	0.257323269
162	0.2572881348
163	0.2572504248
164	0.257211228
165	0.2571765869
166	0.2571355835
167	0.2571083032
168	0.2570730811
169	0.2570306543
170	0.256999043
171	0.2569650317
172	0.2569327637
173	0.256896792
174	0.2568706152
175	0.2568299341
176	0.2567950366
177	0.2567561255
178	0.2567190527
179	0.2566684009
180	0.2566376099
181	0.2566095752
182	0.2565794287
183	0.2565499805
184	0.2565194214
185	0.2564907935
186	0.2564615698
187	0.2564397754
188	0.2564062427
189	0.2563751245
190	0.2563368628
191	0.2562907324
192	0.2562595337
193	0.2562168481
194	0.2561874023
195	0.2561620728
196	0.2561304492
197	0.2561007031
198	0.2560690356
199	0.2560415552
200	0.2559784668
201	0.2559518799
202	0.2559178076
203	0.2558933838
204	0.2558721973
205	0.2558417529
206	0.2558113794
207	0.2557833765
208	0.2557402222
209	0.2557139526
210	0.2556933862
211	0.255668562
212	0.2556290479
213	0.2556012012
214	0.2555653076
215	0.255535835
216	0.2555062988
217	0.2554846948
218	0.2554539893
219	0.2554322241
220	0.2554108984
221	0.2553764966
222	0.2553468384
223	0.2553160425
224	0.2552840479
225	0.2552428418
226	0.2552074658
227	0.255176543
228	0.2551551831
229	0.2551275439
230	0.2551009912
231	0.2550697656
232	0.2550334717
233	0.2550071484
234	0.2549746216
235	0.2549483081
236	0.2549211938
237	0.25490354
238	0.2548714648
239	0.2548417261
240	0.2548181616
241	0.2547900781
242	0.2547635864
243	0.254734436
244	0.254694668
245	0.2546673486
246	0.254640271
247	0.2546105762
248	0.2545589941
249	0.2545339331
250	0.2545058203
251	0.2544694312
252	0.2544307202
253	0.2544109619
254	0.254387002
255	0.2543639917
256	0.2543322583
257	0.2542999512
258	0.2542795728
259	0.2542501196
260	0.2542173145
261	0.2541773999
262	0.2541253345
263	0.254102373
264	0.2540856714
265	0.2540610693
266	0.254021416
267	0.2539970532
268	0.2539709644
269	0.253949082
270	0.2539103809
271	0.2538854321
272	0.2538586743
273	0.2538408643
274	0.2538176099
275	0.2537899976
276	0.2537683667
277	0.2537433862
278	0.2537228979
279	0.253692583
280	0.2536710986
281	0.2536451514
282	0.2536240234
283	0.2536006128
284	0.2535765576
285	0.2535521338
286	0.253516687
287	0.2534882764
288	0.2534720386
289	0.2534441382
290	0.2534272485
291	0.2534046753
292	0.2533859351
293	0.2533505933
294	0.2533261108
295	0.2532922046
296	0.2532633081
297	0.2532338745
