iter	Passed	Remaining
0	247	13388
1	318	8437
2	378	6560
3	436	5563
4	494	4947
5	553	4517
6	615	4218
7	674	3962
8	734	3755
9	794	3576
10	857	3428
11	918	3290
12	983	3177
13	1045	3062
14	1106	2949
15	1166	2843
16	1227	2743
17	1285	2641
18	1347	2552
19	1424	2492
20	1519	2459
21	1597	2396
22	1660	2310
23	1726	2230
24	1792	2150
25	1853	2067
26	1916	1987
27	1980	1909
28	2040	1828
29	2097	1747
30	2160	1672
31	2221	1596
32	2277	1518
33	2340	1445
34	2401	1372
35	2464	1300
36	2534	1232
37	2593	1160
38	2657	1090
39	2724	1021
40	2789	952
41	2847	881
42	2905	810
43	2965	741
44	3027	672
45	3084	603
46	3142	534
47	3199	466
48	3257	398
49	3317	331
50	3374	264
51	3434	198
52	3497	131
53	3564	66
54	3635	0
